id,text
83412,"Отличное приложение, работает супер быстро"
12907,"Ужасно медленное приложение, постоянно глючит"
57390,"В целом нормально, но есть мелкие баги"
40218,"Сервис понравился, очень удобный интерфейс"
91825,"Совершенно разочарован, поддержка не отвечает"
66104,"Все хорошо, работает стабильно уже неделю"
25739,"Приложение глючит и вылетает, пользоваться невозможно"
73016,"Интерфейс красивый, но иногда немного подлагивает"
19483,"Супер опыт, рекомендую друзьям и коллегам"
60572,"Ничего особенного, обычный сервис без эмоций"
88231,"Очень плохо, деньги списали дважды"
34709,"Нравится новый дизайн, стало гораздо удобнее"
91056,"Поддержка ответила быстро, проблему решили"
46821,"Неудобно, много лишних шагов при оплате"
52037,"Все функции работают как заявлено, доволен"
78304,"Разочарование, ожидал гораздо большего"
63951,"Ок, выполняет свои задачи, но без вау-эффекта"
27198,"Круто, что добавили новые возможности"
95630,"Слишком дорого, не стоит своих денег"
32487,"Классный сервис, экономит много времени"
71502,"Плохо, часто вылетает при запуске"
14069,"Нейтрально, просто еще одно приложение на телефоне"
89013,"Очень удобная навигация, все интуитивно понятно"
20645,"Отвратительно, вообще ничего не работает"
77724,"Шикарно, лучшая реализация из всех, что пробовал"
